# Known NID to name pairs.
#
# Harvested from the resolution logs of an open-source emulator, which prints the name it
# matched for every NID a module imports. Nothing here is secret or derived from anything
# that is: the names are already in this program's census, and the NIDs are computable
# from them with `obscene-tool nid`.
#
# It is kept because it is a *test set*. A candidate generator that cannot reproduce names
# already known is not ready to be believed about unknown ones, and this is what measures
# that:
#
#   obscene-tool crack --nids <targets> --words <candidates> --known data/nid-corpus.txt
#
# The header of that command's output reports how many of these it reproduced.
#
# It also verifies the hash chain against an independent implementation: every pair here
# was produced by somebody else's code and agrees with ours.
#
# Suffix: 518D64A635DED8C1E6B039B1C3E55230. Pairs made with a different one do not belong
# in this file and are not comparable.
#
+AFvOEXrKJk sceGnmSetEmbeddedVsShader
SbU3dwp80lQ sceVideoOutGetFlipStatus
SoZkxZkCHaw sceKernelFcntl
SsC-m-S9JTA sceSystemServiceParamGetString
T72hz6ffq08 scePthreadYield
T7uyNqP7vQA tan
TJCAxto9SEU sceNpTrophyRegisterContext
TYE4irxSmko toupper
TywrFKCoLGY sceSaveDataInitialize3
U2JJtSqNKZI sceVideoOutGetEventId
U46NwOiJpys sceVideoOutSubmitFlip
UK2Tl2DWUns sceKernelClose
UTXzJbWhhTE scePthreadAttrSetstacksize
Up36PTk687E sceVideoOutOpen
VHCS3rCd0PM sceKernelAddReadEvent
VOBg+iNwB-4 strtoll
VOx8NGmHXTs sceKernelGetCpumode
VPbJwTCgME0 srand
VUzjXknPPBs mbstowcs
VW3TVZiM4-E sceKernelFtruncate
Vo5V8KAwCmk sceSystemServiceHideSplashScreen
W0Hpm2X0uPE scePthreadSetprio
WFIiSfXGUq8 scePadOpenExt
WFcfL2lzido sceKernelQueryMemoryProtection
WKAXJ4XBPQ4 scePthreadCondWait
WkkeywLJcgU wcslen
WlyEA-sLDf0 sceKernelTruncate
WslcK1FQcGI sceKernelIsNeoMode
WuMbPBKN1TU log10
XD3mDeybCnk scePthreadRwlockTryrdlock
XbkjbobZlCY sceNpTrophyCreateContext
XeTqw+0Zl10 scePthreadSetName
Xjoosiw+XPI sceKernelUuidCreate
Xru92wHJRmg sceVideoOutAddVblankEvent
Y5DhuDKGlnQ log2
Y7aJ1uydPMo realloc
YQ0navp+YIc puts
YWQFUyXIVdU sceKernelDeleteTimerEvent
Ye20uNnlglA abs
YndgXqQVV7c scePadReadState
ZE6RNL+eLbk tanf
ZkZhskCPXFw sceSaveDataInitialize
Zxa0VhQVTsk sceKernelWaitSema
a4gLGspPEDM trunc
aI+OeCz8xrQ scePthreadSelf
aNz11fnnzi4 sceKernelAvailableFlexibleMemorySize
b+uAV89IlxE sceAudioOutSetVolume
b06Hh0DPEaE sceMsgDialogOpen
b08AgtPlHPg sceGnmAreSubmitsAllowed
bErx49PgxyY sceNetBind
bIHoZCTomsI scePthreadRwlockTrywrlock
bQVd5YzCal0 sceGnmSetPsShader
bX5IbRvECXk sceGnmDingDong
beRjXBn-z+o sceNetSend
bt3CTBKmGyI scePthreadSetaffinity
c88Yy54Mx0w sceSaveDataSaveIcon
cQke9UuBQOk sceKernelMunmap
cTGkc6-TBlI sceNetTerm
clVvL4ZDntw scePadSetMotionSensorState
cmo1RIYva9o scePthreadMutexInit
cpCOXWMgha0 rand
dyIhnXq-0SM sceSaveDataDirNameSearch
eGkOpTojJl4 isprint
eLdDw6l0-bU snprintf
eNb53LQJmIM sceUserServiceGetForegroundUser
ePw-kqZmelo sceMsgDialogTerminate
eR2bZFAAU0Q sceSysmoduleUnloadModule
eV9wAD2riIA sceKernelStat
eXbUSpEaTsA scePthreadAttrSetinheritsched
efhK-YSUYYQ localtime
ejekcaNQNq0 sceKernelGettimeofday
eoht7mQOCmo scePthreadGetspecific
f3dg2CSgRKY sceAgcCreateShader
f7KBOafysXo sceKernelGetModuleInfoFromAddr
fLcU5G6Qrjs atoll
fMP5NHUOaMk sceSysmoduleIsLoaded
fPhymKNvK-A sceUserServiceGetLoginUserIdList
fPxypibz2MY atoi
fTx66l5iWIA sceKernelFsync
fZo48un7LK4 sceSystemServiceParamGetInt
fffwELXNVFA fprintf
fgIsQ10xYVA sceKernelChmod
fgxnMeTNUtY sceKernelGetProcessTimeCounter
fmT2cjPoWBs fabsf
fzyMKs9kim0 sceKernelWaitEqueue
g+PZd2hiacg scePthreadCondDestroy
g0VTBxfJyu0 sceKernelGetCurrentCpu
g7zzzLDYGw0 strdup
gAhCn6UiU4Y sceGnmSetVsShader
gNQ1V2vfXDE setjmp
gObODli-OH8 sceGnmRequestFlipAndSubmitDone
gQX+4GDQjpM malloc
gacfOmO8hNs ceil
geDaqgH9lTg scePthreadKeyCreate
gfP0im5Z3g0 ldiv
gjP9-KQzoUk scePadGetControllerInformation
hGbf2QTBmqc scePadGetExtControllerInformation
hcuQgD53UxM printf
hoOAofhhRvE sceNetGetsockname
hv1luiJrqQM scePadInit
hwVSPCmp5tM sceKernelCheckedReleaseDirectMemory
i6-sR91Wt-4 sceVideoOutSetBufferAttribute
iBt3Oe00Kvc sceGnmFlushGarlic
iMp8QpE+XO4 scePthreadMutexattrSettype
iWQWrwiSt8A sceNetHtons
j2AIqSqJP0w sceKernelGetdents
j3YMu1MVNNo sceUserServiceInitialize
j4ViWNHEgww strlen
jbz9I9vkqkk vsprintf
jpFjmgAC5AE sceKernelDeleteEqueue
kBJzF8x4SyE sceKernelBatchMap2
kBwCPsYX-m4 sceKernelFstat
kDZvoVssCgQ strpbrk
kDh-NfxgMtE scePthreadCondSignal
kHg45qPC6f0 strncat
kOcnerypnQA sceKernelGettimezone
kUpgrXIrz7Q sceKernelGetModuleInfo
kiZSXIWd9vg strcpy
kwGyyjohI50 sceKernelGetEventData
lDqxaY1UbEo sceMsgDialogInitialize
lKEN2IebgJ0 longjmp
lUoqwTQu4Go sceUserServiceGetUserColor
lbB+UlZqVG0 fread
m5-2bsNfv7s scePthreadCondattrInit
m5wN+SwZOR4 putchar
mJ7aghmgvfc sceKernelGetEventId
mKhVDmYciWA floorf
mL8NDH86iQI sceKernelMapNamedFlexibleMemory
mXlxhmLNMPg strtol
mpcTgMzhUY8 floor
mqdNorrB+gI scePthreadRwlockWrlock
n7AepwR0s34 mktime
nKWi-N2HBV4 sceKernelPwrite
naInUjYt3so sceKernelRmdir
nlaojL9hDtA round
nsYoNRywwNg scePthreadAttrInit
oVkZ8W8-Q8A strtok
ob5xAW4ln-0 strchr
oib76F-12fk sceKernelLseek
onNY9Byn-W8 scePthreadJoin
pKwslsMUmSk fmod
pNtJdE3x49E wcscmp
pO96TwzOm5E sceKernelGetDirectMemorySize
pXvbDfchu6k strncasecmp
q0F6yS-rCms strcspn
