# Export vaddrs, resolved to names.
#
# known_by = "measured"
# source = "12.40 libkernel_sys.sprx"
#
# Format: <name> <vaddr_hex>. Lines starting with '#' and blank lines are ignored.
#   vaddr  the export's offset within the module, measured from the file. A loader
#          reaches the function by adding it to the module's load base.
#   name   resolved from obscene's mined corpus (data/mined-names.txt) by the NID the
#          export table stores. 1644 of 1867 resolved; the rest keep their
#          encoded NID (hash#lib#mod), the honest statement that the name is not yet
#          known.
#
# Regenerate: obscene-tool vaddrs <module> --source "12.40 libkernel_sys.sprx"
#
pthread_barrierattr_destroy 0x5890
pthread_barrierattr_getpshared 0x58b0
pthread_barrierattr_getpshared 0x58b0
pthread_barrierattr_init 0x58d0
pthread_barrierattr_init 0x58d0
pthread_barrierattr_setpshared 0x5910
pthread_barrierattr_setpshared 0x5910
posix_pthread_cancel 0x5980
posix_pthread_cancel 0x5980
posix_pthread_cleanup_pop 0x5e10
posix_pthread_cleanup_pop 0x5e10
posix_pthread_cleanup_push 0x5db0
posix_pthread_cleanup_push 0x5db0
posix_pthread_cond_broadcast 0x7240
posix_pthread_cond_broadcast 0x7240
posix_pthread_cond_destroy 0x5f60
posix_pthread_cond_destroy 0x5f60
posix_pthread_cond_init 0x5e90
posix_pthread_cond_init 0x5e90
posix_pthread_cond_reltimedwait_np 0x6c70
pthread_cond_setname_np 0x9590
pthread_cond_setname_np 0x9590
posix_pthread_cond_signal 0x6fa0
posix_pthread_cond_signal 0x6fa0
posix_pthread_cond_signalto_np 0x7670
posix_pthread_cond_signalto_np 0x7670
posix_pthread_cond_timedwait 0x6b20
posix_pthread_cond_timedwait 0x6b20
posix_pthread_cond_wait 0x6950
posix_pthread_cond_wait 0x6950
posix_pthread_condattr_destroy 0x7ae0
posix_pthread_condattr_destroy 0x7ae0
posix_pthread_condattr_getclock 0x7b10
posix_pthread_condattr_getclock 0x7b10
posix_pthread_condattr_getpshared 0x7b60
posix_pthread_condattr_getpshared 0x7b60
posix_pthread_condattr_init 0x7aa0
posix_pthread_condattr_init 0x7aa0
posix_pthread_condattr_setclock 0x7b30
posix_pthread_condattr_setclock 0x7b30
posix_pthread_condattr_setpshared 0x7b80
posix_pthread_condattr_setpshared 0x7b80
posix_pthread_create 0x7ba0
posix_pthread_create 0x7ba0
posix_pthread_create_name_np 0x8250
posix_pthread_create_name_np 0x8250
posix_pthread_detach 0x8370
posix_pthread_detach 0x8370
posix_pthread_equal 0x8410
posix_pthread_equal 0x8410
posix_pthread_exit 0x85f0
posix_pthread_exit 0x85f0
pthread_get_specificarray_np 0x42480
pthread_get_user_context_np 0xfca0
pthread_get_user_context_np 0xfca0
posix_pthread_getaffinity_np 0x47d0
pthread_getconcurrency 0x5e60
pthread_getconcurrency 0x5e60
pthread_getcpuclockid 0x8f50
pthread_getcpuclockid 0x8f50
pthread_getname_np 0x9400
pthread_getname_np 0x9400
pthread_getprio 0x8ef0
pthread_getprio 0x8ef0
posix_pthread_getschedparam 0x8f70
posix_pthread_getschedparam 0x8f70
posix_pthread_getspecific 0x42340
posix_pthread_getspecific 0x42340
pthread_getstack_np 0xe880
posix_pthread_getthreadid_np 0x9100
posix_pthread_join 0x9710
posix_pthread_join 0x9710
posix_pthread_key_create 0x41cd0
posix_pthread_key_create 0x41cd0
posix_pthread_key_delete 0x41e10
posix_pthread_key_delete 0x41e10
posix_pthread_kill 0xa0e0
